id,total,name,bez,stark_sinkend,leicht_sinkend,kein_starker_trend,leicht_steigend,stark_steigend,search,bbox,center
06634,12,Schwalm-Eder-Kreis,lk,0,7,4,1,0,schwalm-eder-kreis landkreis,"8.9727,50.7728,9.7809,51.2576","9.3737,51.0238"
06635,8,Waldeck-Frankenberg,lk,0,3,5,0,0,waldeck-frankenberg landkreis,"8.4734,50.9356,9.2214,51.5186","8.8889,51.1907"
06636,19,Werra-Meißner-Kreis,lk,1,3,14,1,0,werra-meißner-kreis landkreis,"9.625,50.9922,10.236,51.4211","9.9289,51.1908"
07111,1,Koblenz,ks,0,0,1,0,0,koblenz kreisfreie stadt,"7.4841,50.283,7.696,50.4103","7.5795,50.3485"
07131,0,Ahrweiler,lk,0,0,0,0,0,ahrweiler landkreis,"6.7432,50.3066,7.3444,50.6497","7.045,50.4676"
07132,0,Altenkirchen (Westerwald),lk,0,0,0,0,0,altenkirchen (westerwald) landkreis,"7.4392,50.5639,8.043,50.9423","7.7441,50.7507"
07133,0,Bad Kreuznach,lk,0,0,0,0,0,bad kreuznach landkreis,"7.3874,49.6359,7.9688,50.001","7.6867,49.8248"
07134,0,Birkenfeld,lk,0,0,0,0,0,birkenfeld landkreis,"7.028,49.5486,7.5263,49.9005","7.2775,49.7126"
07135,0,Cochem-Zell,lk,0,0,0,0,0,cochem-zell landkreis,"6.9526,49.9594,7.3836,50.2813","7.1743,50.1329"
07137,3,Mayen-Koblenz,lk,1,0,2,0,0,mayen-koblenz landkreis,"6.9738,50.1601,7.681,50.4766","7.3322,50.3316"
07138,25,Neuwied,lk,0,0,25,0,0,neuwied landkreis,"7.21,50.4117,7.7115,50.7182","7.469,50.5577"
07140,0,Rhein-Hunsrück-Kreis,lk,0,0,0,0,0,rhein-hunsrück-kreis landkreis,"7.2027,49.8405,7.7648,50.2655","7.5001,50.0443"
07141,0,Rhein-Lahn-Kreis,lk,0,0,0,0,0,rhein-lahn-kreis landkreis,"7.5784,50.0665,8.1228,50.4148","7.8427,50.2633"
07143,1,Westerwaldkreis,lk,0,0,1,0,0,westerwaldkreis landkreis,"7.5949,50.3474,8.1522,50.7401","7.8657,50.5523"
07211,5,Trier,ks,1,0,4,0,0,trier kreisfreie stadt,"6.5529,49.699,6.7465,49.8577","6.655,49.7627"
07231,8,Bernkastel-Wittlich,lk,1,0,7,0,0,bernkastel-wittlich landkreis,"6.6812,49.673,7.2638,50.1315","6.9673,49.9247"
07232,13,Eifelkreis Bitburg-Prüm,lk,2,0,9,2,0,eifelkreis bitburg-prüm landkreis,"6.1124,49.8104,6.7282,50.3245","6.4101,50.0622"
07233,10,Vulkaneifel,lk,0,1,8,1,0,vulkaneifel landkreis,"6.385,50.0734,7.0704,50.3895","6.7487,50.2384"
07235,3,Trier-Saarburg,lk,1,0,1,0,1,trier-saarburg landkreis,"6.3575,49.517,7.0651,49.9176","6.6952,49.6966"
07311,19,Frankenthal (Pfalz),ks,0,0,6,11,2,frankenthal (pfalz) kreisfreie stadt,"8.3083,49.4853,8.4231,49.5828","8.357,49.5333"
07312,1,Kaiserslautern,ks,0,0,1,0,0,kaiserslautern kreisfreie stadt,"7.6272,49.3586,7.8707,49.4951","7.7607,49.4328"
07313,1,Landau in der Pfalz,ks,0,0,1,0,0,landau in der pfalz kreisfreie stadt,"7.8641,49.1551,8.1808,49.3164","8.0509,49.2244"
07314,14,Ludwigshafen am Rhein,ks,0,0,7,3,4,ludwigshafen am rhein kreisfreie stadt,"8.2981,49.4267,8.477,49.5501","8.3968,49.4821"
07315,3,Mainz,ks,1,0,1,1,0,mainz kreisfreie stadt,"8.1434,49.8956,8.343,50.0353","8.2415,49.9742"
07316,0,Neustadt an der Weinstraße,ks,0,0,0,0,0,neustadt an der weinstraße kreisfreie stadt,"7.9996,49.2961,8.3174,49.4009","8.1522,49.3419"
07317,0,Pirmasens,ks,0,0,0,0,0,pirmasens kreisfreie stadt,"7.5142,49.1413,7.6734,49.2347","7.5945,49.1972"
07318,14,Speyer,ks,6,2,6,0,0,speyer kreisfreie stadt,"8.3754,49.283,8.4918,49.3761","8.4349,49.3297"
07319,9,Worms,ks,0,0,6,3,0,worms kreisfreie stadt,"8.2384,49.5864,8.4464,49.7367","8.3245,49.6494"
07320,0,Zweibrücken,ks,0,0,0,0,0,zweibrücken kreisfreie stadt,"7.289,49.1895,7.4484,49.3164","7.3654,49.2482"
07331,61,Alzey-Worms,lk,0,1,36,12,12,alzey-worms landkreis,"7.9046,49.5881,8.4799,49.9","8.1572,49.7594"
07332,6,Bad Dürkheim,lk,3,2,1,0,0,bad dürkheim landkreis,"7.8246,49.309,8.3174,49.6289","8.1103,49.453"
07333,0,Donnersbergkreis,lk,0,0,0,0,0,donnersbergkreis landkreis,"7.6963,49.4893,8.1612,49.7658","7.915,49.632"
07334,159,Germersheim,lk,12,24,113,9,1,germersheim landkreis,"8.055,48.9666,8.4131,49.2977","8.2462,49.1159"
07335,6,Kaiserslautern,lk,0,0,4,2,0,kaiserslautern landkreis,"7.3925,49.3068,8.0026,49.5971","7.6849,49.4462"
07336,7,Kusel,lk,0,1,6,0,0,kusel landkreis,"7.2464,49.3634,7.7282,49.714","7.4713,49.5499"
07337,22,Südliche Weinstraße,lk,8,7,7,0,0,südliche weinstraße landkreis,"7.8257,48.9993,8.3243,49.3438","8.0481,49.1904"
07338,53,Rhein-Pfalz-Kreis,lk,6,10,29,4,4,rhein-pfalz-kreis landkreis,"8.2327,49.2498,8.5084,49.6076","8.3606,49.4166"
07339,26,Mainz-Bingen,lk,2,4,15,0,5,mainz-bingen landkreis,"7.6648,49.7485,8.4001,50.0826","8.0796,49.922"
07340,0,Südwestpfalz,lk,0,0,0,0,0,südwestpfalz landkreis,"7.3203,49.0329,7.9167,49.377","7.6588,49.2083"
08111,0,Stuttgart,sk,0,0,0,0,0,stuttgart stadtkreis,"9.039,48.69,9.3154,48.8672","9.172,48.7746"
08115,0,Böblingen,lk,0,0,0,0,0,böblingen landkreis,"8.7465,48.499,9.1742,48.8677","8.9428,48.6782"
08116,0,Esslingen,lk,0,0,0,0,0,esslingen landkreis,"9.0849,48.5123,9.5964,48.7882","9.3691,48.648"
08117,0,Göppingen,lk,0,0,0,0,0,göppingen landkreis,"9.484,48.5173,9.9945,48.7814","9.7175,48.6631"
08118,4,Ludwigsburg,lk,0,0,3,1,0,ludwigsburg landkreis,"8.876,48.7541,9.4162,49.0646","9.1244,48.9406"
08119,0,Rems-Murr-Kreis,lk,0,0,0,0,0,rems-murr-kreis landkreis,"9.2373,48.7405,9.7697,49.079","9.5013,48.899"
08121,6,Heilbronn,sk,0,1,5,0,0,heilbronn stadtkreis,"9.0445,49.093,9.3005,49.2105","9.1823,49.1527"
08125,6,Heilbronn,lk,1,0,3,0,2,heilbronn landkreis,"8.8161,49.0203,9.5275,49.3879","9.1908,49.1771"
08126,0,Hohenlohekreis,lk,0,0,0,0,0,hohenlohekreis landkreis,"9.3434,49.0954,9.8604,49.4301","9.6142,49.2716"
08127,1,Schwäbisch Hall,lk,0,0,1,0,0,schwäbisch hall landkreis,"9.4974,48.9176,10.2646,49.3952","9.9089,49.1445"
08128,0,Main-Tauber-Kreis,lk,0,0,0,0,0,main-tauber-kreis landkreis,"9.2957,49.3522,10.1617,49.7915","9.7251,49.5607"
08135,36,Heidenheim,lk,0,2,32,2,0,heidenheim landkreis,"9.9201,48.5001,10.4957,48.7872","10.1821,48.6623"
